time,open,high,low,close,volume,ticker
9/28/2015 7:00,3.13,3.16,3.06,3.06,265140,ACB
9/29/2015 7:00,3.05,3.09,2.98,3.08,299147,ACB
9/30/2015 7:00,3.09,3.11,3.08,3.08,123594,ACB
10/1/2015 7:00,3.06,3.09,2.78,3.08,227369,ACB
10/2/2015 7:00,3.08,3.09,3.08,3.09,158695,ACB
10/5/2015 7:00,3.09,3.11,3.06,3.11,220204,ACB
10/6/2015 7:00,3.13,3.24,3.13,3.2,895315,ACB
10/7/2015 7:00,3.24,3.24,3.16,3.16,188078,ACB
10/8/2015 7:00,3.14,3.28,3.14,3.2,541780,ACB
10/9/2015 7:00,3.25,3.28,3.24,3.27,557772,ACB
10/12/2015 7:00,3.28,3.32,3.25,3.32,479803,ACB
10/13/2015 7:00,3.28,3.3,3.27,3.3,230664,ACB
10/14/2015 7:00,3.28,3.3,3.25,3.3,296896,ACB
10/15/2015 7:00,3.27,3.32,3.25,3.3,371189,ACB
10/16/2015 7:00,3.32,3.33,3.28,3.28,431631,ACB
10/19/2015 7:00,3.22,3.32,3.22,3.28,178784,ACB
10/20/2015 7:00,3.28,3.3,3.24,3.27,149907,ACB
10/21/2015 7:00,3.27,3.3,3.25,3.25,282119,ACB
10/22/2015 7:00,3.24,3.3,3.24,3.3,176203,ACB
10/23/2015 7:00,3.3,3.32,3.28,3.3,175412,ACB
10/26/2015 7:00,3.3,3.33,3.3,3.32,246978,ACB
10/27/2015 7:00,3.28,3.32,3.27,3.32,72424,ACB
10/28/2015 7:00,3.27,3.3,3.27,3.27,78194,ACB
10/29/2015 7:00,3.28,3.3,3.27,3.3,204951,ACB
10/30/2015 7:00,3.28,3.33,3.28,3.3,167701,ACB
11/2/2015 7:00,3.3,3.3,3.24,3.27,49251,ACB
11/3/2015 7:00,3.24,3.28,3.24,3.27,126751,ACB
11/4/2015 7:00,3.28,3.28,3.24,3.24,114262,ACB
11/5/2015 7:00,3.24,3.27,3.24,3.25,130706,ACB
11/6/2015 7:00,3.27,3.28,3.2,3.27,60404,ACB
