date,price
5/26/2026,1883.29
5/25/2026,1886.03
5/22/2026,1877.13
5/21/2026,1896.89
5/20/2026,1913.23
5/19/2026,1912.93
5/18/2026,1927.94
5/15/2026,1921.60
5/14/2026,1925.46
5/13/2026,1898.37
5/12/2026,1901.10
5/11/2026,1895.50
5/8/2026,1915.37
5/7/2026,1909.01
5/6/2026,1891.20
5/5/2026,1874.85
5/4/2026,1854.06
4/29/2026,1854.10
4/28/2026,1875.84
4/24/2026,1853.29
4/23/2026,1870.36
4/22/2026,1857.30
4/21/2026,1833.48
4/20/2026,1837.11
4/17/2026,1817.17
4/16/2026,1819.83
4/15/2026,1800.65
4/14/2026,1775.65
4/13/2026,1758.96
4/10/2026,1750.00
4/9/2026,1736.68
4/8/2026,1756.55
4/7/2026,1677.54
4/6/2026,1674.99
4/3/2026,1684.04
4/2/2026,1694.82
4/1/2026,1702.93
3/31/2026,1674.49
3/30/2026,1662.54
3/27/2026,1672.80
3/26/2026,1644.63
3/25/2026,1658.19
3/24/2026,1614.77
3/23/2026,1591.17
3/20/2026,1647.81
3/19/2026,1699.13
3/18/2026,1713.83
3/17/2026,1710.29
3/16/2026,1693.21
3/13/2026,1696.24
3/12/2026,1709.61
3/11/2026,1728.34
3/10/2026,1676.73
3/9/2026,1652.79
3/6/2026,1767.84
3/5/2026,1808.51
3/4/2026,1818.27
3/3/2026,1813.14
3/2/2026,1846.10
2/27/2026,1880.33
2/26/2026,1879.64
2/25/2026,1860.91
2/24/2026,1867.62
2/23/2026,1860.14
2/13/2026,1824.09
2/12/2026,1814.09
2/11/2026,1796.85
2/10/2026,1754.03
2/9/2026,1754.82
2/6/2026,1755.49
2/5/2026,1782.56
2/4/2026,1791.43
2/3/2026,1813.40
2/2/2026,1806.50
1/30/2026,1829.04
1/29/2026,1814.98
1/28/2026,1802.91
1/27/2026,1830.50
1/26/2026,1843.72
1/23/2026,1870.79
1/22/2026,1882.73
1/21/2026,1885.44
1/20/2026,1893.78
1/19/2026,1896.59
1/16/2026,1879.13
1/15/2026,1864.80
1/14/2026,1894.44
1/13/2026,1902.93
1/12/2026,1877.33
1/9/2026,1867.90
1/8/2026,1855.56
1/7/2026,1861.58
1/6/2026,1816.27
1/5/2026,1788.40
12/31/2025,1784.49
12/30/2025,1766.90
12/29/2025,1754.84
12/26/2025,1729.80
12/25/2025,1742.85
12/24/2025,1782.82
12/23/2025,1772.15
12/22/2025,1751.03
12/19/2025,1704.31
12/18/2025,1676.98
12/17/2025,1673.66
12/16/2025,1679.18
12/15/2025,1646.01
12/12/2025,1646.89
12/11/2025,1698.90
12/10/2025,1718.98
12/9/2025,1747.17
12/8/2025,1753.74
12/5/2025,1741.32
12/4/2025,1737.24
12/3/2025,1731.77
12/2/2025,1717.06
12/1/2025,1701.67
11/28/2025,1690.99
11/27/2025,1684.32
11/26/2025,1680.36
11/25/2025,1660.36
11/24/2025,1667.98
11/21/2025,1654.93
11/20/2025,1655.99
11/19/2025,1649.00
11/18/2025,1659.92
11/17/2025,1654.42
11/14/2025,1635.46
11/13/2025,1631.44
11/12/2025,1631.86
11/11/2025,1593.61
11/10/2025,1580.54
11/7/2025,1599.10
11/6/2025,1642.64
11/5/2025,1654.89
11/4/2025,1651.98
11/3/2025,1617.00
10/31/2025,1639.65
10/30/2025,1669.57
10/29/2025,1685.83
10/28/2025,1680.50
10/27/2025,1652.54
10/24/2025,1683.18
10/23/2025,1687.06
10/22/2025,1678.50
10/21/2025,1663.43
10/20/2025,1636.43
10/17/2025,1731.19
10/16/2025,1766.85
10/15/2025,1757.95
10/14/2025,1761.06
10/13/2025,1765.12
10/10/2025,1747.55
10/9/2025,1716.47
10/8/2025,1697.83
10/7/2025,1685.30
10/6/2025,1695.50
10/3/2025,1645.82
10/2/2025,1652.71
10/1/2025,1665.05
9/30/2025,1661.70
9/29/2025,1666.48
9/26/2025,1660.70
9/25/2025,1666.09
9/24/2025,1657.46
9/23/2025,1635.26
9/22/2025,1634.45
9/19/2025,1658.62
9/18/2025,1665.18
9/17/2025,1670.97
9/16/2025,1680.90
9/15/2025,1684.90
9/12/2025,1667.26
9/11/2025,1657.75
9/10/2025,1643.26
9/9/2025,1637.32
9/8/2025,1624.53
9/5/2025,1666.97
9/4/2025,1696.29
9/3/2025,1681.30
